objid,ra,dec,u,g,r,i,z,run,camcol,field,score,clean,class,redshift,mjd,rowv,colv,mjd_sequential,month_sin,month_cos,x_cord,y_cord,z_cord,class_GALAXY,class_QUASAR,class_STAR,r_standard,g_standard,mjd_sequential_standard,month_sin_standard,month_cos_standard,x_cord_standard,y_cord_standard,z_cord_standard
1237648722306924571,185.5744857,0.701402405,19.11034,17.62099,17.03464,16.82993,16.71711,756,5,466,0.8641446,1,STAR,8.780529e-05,54140,0.002417854,0.001363113,2532,0.8660254037844386,0.5000000000000001,-0.9951961804936743,-0.09713242819054596,0.012241475589585707,0.0,0.0,1.0,0.18459247957281807,0.27090988428103774,0.7388592687456084,0.44194513800504115,0.9341062672914372,-0.6465125262902034,0.09662246750602668,0.22922923633967074
1237648720167436418,203.8018409,-0.853906017,18.90957,17.6294,17.01465,16.62059,16.35239,756,1,588,0.816541,1,GALAXY,0.08619995,51955,0.00864956,0.007055704,347,0.8660254037844386,0.5000000000000001,-0.9148450924522399,-0.4035298747275519,-0.014902919795090858,1.0,0.0,0.0,0.16564840644270734,0.27975464340144407,-0.6259570990067428,0.44194513800504115,0.9341062672914372,-0.39472749410274155,-0.5120895407678328,-0.5545127335736967
1237648720685105352,160.0342636,-0.421625751,19.2634,17.67693,16.82551,16.42307,16.13864,756,2,295,0.870381,1,GALAXY,0.1330486,51913,0.003937531,-0.00202776,305,0.49999999999999994,0.8660254037844387,-0.9398715369013156,0.3414488889823621,-0.007358691151926321,1.0,0.0,0.0,-0.013595315009474892,0.32974173032092435,-0.6521915555035843,-0.35505864828599676,1.5555435744979365,-0.4731493832736623,0.967940807084524,-0.33668770802133335
1237648703510937836,200.8073731,-0.682024498,18.82022,17.77765,17.38575,17.11128,16.9354,752,2,382,0.8678011,1,GALAXY,0.08636355,51959,0.0018389,0.001160008,351,0.8660254037844386,0.5000000000000001,-0.9347137456959318,-0.3552020907140508,-0.011903291958452609,1.0,0.0,0.0,0.5173315249311592,0.4356685006666085,-0.6234585793403769,0.44194513800504115,0.9341062672914372,-0.4569871301378478,-0.41607796235955585,-0.46790427549689706
1237648720161275992,189.7924038,-1.001480273,18.91391,19.05355,19.46278,19.7566,20.09613,756,1,494,0.8338245,1,STAR,-4.09e-08,54562,0.001929268,-0.000464829,2954,0.8660254037844387,-0.4999999999999998,-0.9852799254923066,-0.17005287299424718,-0.01747823813424169,0.0,0.0,1.0,2.4856861128968397,1.7775267838681068,1.0024530935472067,0.44194513800504137,-0.7636920297155072,-0.6154393367969764,-0.04824672413497828,-0.6288700747366355
1237648720132178408,123.386052,-1.045499268,18.52214,17.45173,17.23112,17.16427,17.13214,756,1,50,0.8514174,1,STAR,1.19044e-05,53816,-0.002164597,-0.000364223,2208,1.0,6.123233995736766e-17,-0.5501858798508196,0.8348428395776268,-0.01824639193770643,0.0,0.0,1.0,0.3707921538401612,0.09289990464730263,0.5364791757699737,0.7336687706999448,0.08520711878796479,0.7479543764272096,1.948154010332428,-0.651049031629658
1237648720165863598,200.2437279,-0.895930737,18.09523,16.82764,16.18942,15.83503,15.58671,756,1,564,0.8152946,0,GALAXY,0.04815651,51984,-0.01160999,0.002360815,376,1.0,6.123233995736766e-17,-0.9381145165984687,-0.3459720505251073,-0.015636303996598433,1.0,0.0,0.0,-0.616403492965064,-0.5634527373804632,-0.6078428314255903,0.7336687706999448,0.08520711878796479,-0.46764365305532074,-0.39774087644920825,-0.5756877853900051
1237648704054624442,216.2566612,-0.220798957,19.20765,18.73173,18.84302,18.98353,19.15128,752,3,486,0.8040864,1,STAR,-0.000223421,51613,-0.002152818,-0.001025839,5,1.0,6.123233995736766e-17,-0.8063698655924568,-0.5913990101232979,-0.0038536592463060985,0.0,0.0,1.0,1.8983535084387382,1.439070139381933,-0.8395805304810238,0.7336687706999448,0.08520711878796479,-0.05481375861793314,-0.8853243702089008,-0.23548668396497352
1237648722308890870,190.0508466,0.695671846,17.82951,15.90091,15.02515,14.61881,14.30353,756,5,496,0.8228984,1,GALAXY,0.04634102,51941,-0.000474302,-0.001548418,333,0.8660254037844386,0.5000000000000001,-0.9845806836984012,-0.17450920346440713,0.012141465900244251,1.0,0.0,0.0,-1.7197559703634662,-1.5380905042832953,-0.6347019178390233,0.44194513800504115,0.9341062672914372,-0.6132482200134117,-0.05710000245267285,0.2263416497928308
1237648720163963081,195.9519901,-0.966004747,17.76132,16.51327,15.89811,15.53069,15.31236,756,1,535,0.8113358,1,GALAXY,0.08944633,51986,0.000893583,0.001024402,378,1.0,6.123233995736766e-17,-0.9613556706032146,-0.2747927276432218,-0.01685916467211989,1.0,0.0,0.0,-0.8924714241072615,-0.8940742504222811,-0.6065935715924073,0.7336687706999448,0.08520711878796479,-0.5404712257963536,-0.25633072741334484,-0.6109955246555411
1237648722831409163,157.2646864,1.16968743,16.29776,15.26695,15.0939,15.05828,15.10017,756,6,277,0.849116,1,STAR,1.214256e-05,51957,0.000142633,-8.81e-05,349,0.8660254037844386,0.5000000000000001,-0.9221078795526922,0.38639403249509885,0.020413478856234842,0.0,0.0,1.0,-1.6546031425648113,-2.2048233808554576,-0.6247078391735598,0.44194513800504115,0.9341062672914372,-0.41748588018601523,1.057232179708579,0.46518004119560225
1237648721754914875,151.0119298,0.343697172,19.00329,17.36013,16.67788,16.41988,16.27547,756,4,235,0.8899828,0,STAR,-8.14e-05,54479,0.004331653,0.003924309,2871,0.49999999999999994,0.8660254037844387,-0.8747048946448335,0.48461878208213816,0.005998611305601441,0.0,0.0,1.0,-0.15350094363370267,-0.0034354027758941833,0.950608810470115,-0.35505864828599676,1.5555435744979365,-0.26894573752295253,1.252372789589942,0.04897859223824819
1237648702972887329,198.0937569,-1.206233754,19.5478,18.23257,17.61664,17.23762,17.07785,752,1,364,0.8485536,1,GALAXY,0.08769291,51985,-0.003663062,0.01037706,377,1.0,6.123233995736766e-17,-0.9503389354056313,-0.3105040338273745,-0.021051195429715164,1.0,0.0,0.0,0.7361407818101614,0.9141058156552617,-0.6072182015089987,0.7336687706999448,0.08520711878796479,-0.5059496145283909,-0.3272774704463774,-0.7320323131835275
1237646586639089979,87.07052602,-0.189387405,18.29707,19.05436,17.86311,18.62256,17.6707,259,3,537,0.8984517,0,GALAXY,0.1815861,56658,-0.003950789,0.01923495,5050,0.49999999999999994,0.8660254037844387,0.05110641337605233,0.9986877433207839,-0.0033054277599255883,1.0,0.0,0.0,0.969714854065208,1.7783786572197726,2.3116773987229173,-0.35505864828599676,1.5555435744979365,2.632140429093111,2.273660510240183,-0.219657559056671
1237648705678213667,245.9430696,0.887752036,19.07316,17.33798,16.44005,15.89485,15.53507,752,6,684,0.8519949,1,QUASAR,0.056787,52000,0.000309182,-0.002254646,392,0.8660254037844387,-0.4999999999999998,-0.40759523124269587,-0.9130312571703538,0.01549357602803954,0.0,1.0,0.0,-0.3788870823297621,-0.026730458009778534,-0.5978487527601268,0.44194513800504137,-0.7636920297155072,1.1947708654698208,-1.5243029688833565,0.3231273529810447
1237648720163766426,195.4298249,-0.902508952,19.23652,17.26917,16.31187,15.90075,15.57505,756,1,532,0.8029205,1,GALAXY,0.08523802,51689,-0.000544515,-0.002560935,81,0.49999999999999994,-0.8660254037844387,-0.9638374553867655,-0.26602492815386414,-0.015751101367723012,1.0,0.0,0.0,-0.5003603836713133,-0.09909762508172675,-0.7921086568200725,-0.35505864828599676,-1.385129336922007,-0.5482480496930815,-0.2389119633354111,-0.5790023376764356
1237648721754128529,149.2141666,0.208799417,17.70363,15.68413,14.75272,14.29722,13.95347,756,4,223,0.877529,1,GALAXY,0.0650453,51633,-0.000342368,-0.004291164,25,1.0,6.123233995736766e-17,-0.8590807706966866,0.5118270694408975,0.0036442292367053356,1.0,0.0,0.0,-1.9779317503952862,-1.766077053881556,-0.8270879321491945,0.7336687706999448,0.08520711878796479,-0.21998659276119834,1.306426801550653,-0.018999641001273628
1237648703513821249,207.3929659,-0.684141388,18.11682,17.77947,17.87333,17.7141,17.67043,752,2,426,0.9167945,1,QUASAR,0.5148025,51943,-0.00138927,0.002196442,335,0.8660254037844386,0.5000000000000001,-0.8878085824833559,-0.4600579872498318,-0.011940236033170995,0.0,1.0,0.0,0.9794001180666957,0.43758258646912035,-0.6334526580058404,0.44194513800504115,0.9341062672914372,-0.3100069421017316,-0.6243925031008164,-0.4689709642732019
1237648722833833992,162.7797128,1.095266744,19.18994,18.01201,17.46605,17.25548,17.11444,756,6,314,0.8459709,1,STAR,0.000364851,54208,-0.000241576,-0.00025236,2600,0.8660254037844387,-0.4999999999999998,-0.9549990830506915,0.2959921857239148,0.019114846656924547,0.0,0.0,1.0,0.5934300277999861,0.6821438570825514,0.781334103073828,0.44194513800504137,-0.7636920297155072,-0.5205524712340118,0.8776331317344409,0.42768454558198693
1237648721789780163,230.5897937,0.332403524,19.44441,18.16818,17.62407,17.25104,17.09154,756,4,767,0.872553,1,GALAXY,0.1253832,51673,-0.01410402,-0.000546463,65,0.49999999999999994,-0.8660254037844387,-0.6348574687887392,-0.7726074921210109,0.005801503394578757,1.0,0.0,0.0,0.7431820255998919,0.8463871426751349,-0.8021027354855359,-0.35505864828599676,-1.385129336922007,0.4826307913239925,-1.2453266490782946,0.0432874821478892
1237648720161210403,189.6137586,-0.901576965,18.93525,17.40491,16.86003,16.65816,16.56775,756,1,493,0.83514,1,STAR,-8.05e-05,54567,-0.00202954,0.000450225,2959,0.8660254037844387,-0.4999999999999998,-0.9858339004266141,-0.16698483664623193,-0.015734837141833786,0.0,0.0,1.0,0.019118512126661557,0.043659521529899575,1.005576243130164,0.44194513800504137,-0.7636920297155072,-0.6171752510212336,-0.04215153441337594,-0.5785327395786738
1237648720165404749,199.2204356,-0.909190466,17.96772,17.01517,16.77084,16.66756,16.65791,756,1,557,0.8378421,1,STAR,0.000363073,54970,0.000903092,-0.001134845,3362,0.49999999999999994,-0.8660254037844387,-0.9441401316847675,-0.3291620084404015,-0.01586770121192549,0.0,0.0,1.0,-0.06540484367496695,-0.3662282810368781,1.2573020995165245,-0.35505864828599676,-1.385129336922007,-0.4865252852202848,-0.3643447937070059,-0.582368932890357
1237648721757864179,157.7616765,0.390282488,18.94695,17.51568,16.80462,16.37475,16.06501,756,4,280,0.8957288,1,GALAXY,0.09711879,51957,5.238975e-05,0.001901713,349,0.8660254037844386,0.5000000000000001,-0.9255961768816744,0.3784512103378785,0.006811661751959705,1.0,0.0,0.0,-0.033392297885314864,0.16015583160923827,-0.6247078391735598,0.44194513800504115,0.9341062672914372,-0.4284166724959376,1.0414523770981818,0.07245385294814376
1237648703510282290,199.2850282,-0.777091854,17.24544,16.12872,16.17245,16.23912,16.29791,752,2,372,0.8298559,1,STAR,0.000168985,54970,0.000431659,-0.003965986,3362,0.49999999999999994,-0.8660254037844387,-0.9438004725188707,-0.3302373835558779,-0.013562395633686846,0.0,0.0,1.0,-0.6324855800595075,-1.2985037533654056,1.2573020995165245,-0.35505864828599676,-1.385129336922007,-0.48546094251998434,-0.3664812140773053,-0.5158076884958336
1237648703510216786,199.1277421,-0.765351028,17.68675,16.4453,16.00829,15.84068,15.77711,752,2,371,0.836858,1,STAR,7.789464e-05,56727,0.000313656,0.002199827,5119,1.0,6.123233995736766e-17,-0.944706075628611,-0.3276461626727628,-0.01335749812662226,0.0,0.0,1.0,-0.7880563176802696,-0.9655579932776808,2.3547768629677286,0.7336687706999448,0.08520711878796479,-0.48829870506549516,-0.36133330150339404,-0.5098916688703683
